content,score,at,sentiment
رائع,5,2026-06-25 13:23:26,Positive
ناجح,5,2026-06-13 15:48:34,Positive
تطبيق كلش حلو,5,2026-06-11 13:52:11,Positive
شكرا,5,2026-06-06 20:16:09,Positive
جيد جدا,5,2026-06-02 08:59:45,Positive
برنامج محترام بارك الله بيكم,5,2026-06-01 20:36:43,Positive
خدمه جيده جدا تختلف عن باقي التطبيقات بعض التطبيقات لا تمتلك خرائط كل القرى شكرا تطبيق اغاتي,5,2026-05-31 08:19:31,Positive
تطبيق كلش بارك الله بيكم,5,2026-05-29 16:33:39,Positive
التطبيق جيد لكن بعد ماغيرت مبايلي ورجعت اريد اسجل دخول يگلي حصل خطأ,3,2026-05-28 12:33:02,Neutral
🥰🥰,5,2026-05-23 13:41:47,Positive
راقي,5,2026-05-15 21:12:01,Positive
روعة وخصوصا بين اقضية الانبار.. دوم نستخدمه بين الرمادي والفلوجة والعكس والى هيت,5,2026-05-13 11:13:11,Positive
تطبيق سيء جدا الاجرة مرتفعة,1,2026-05-06 19:57:08,Negative
عمره خساره الي مايجربه,5,2026-05-03 15:44:17,Positive
يجب وضع شعار التطبيق على المركبات,5,2026-04-30 21:19:01,Positive
مرتب,5,2026-04-05 12:54:05,Positive
سائق ممتاز,5,2026-04-05 06:10:34,Positive
والله احسن تجربه واحسن اكادر متعاون ومميز ويجي بسرعه بارك الله فيكم,5,2026-03-25 10:39:17,Positive
شكرآ جزيلآ,5,2026-03-24 13:58:17,Positive
وأخيراً تطبيق تكسي يشتغل في صلاح الدين 😂,5,2026-03-23 14:18:16,Positive
سرعة وصول السيارات,5,2026-03-21 08:12:33,Positive
ما شاء الله ممتاز,5,2026-03-20 10:00:09,Positive
نزلته وحذفته ٤ مرات احاول وياه واكتب رقمي ومايرسلي رمز عالرقم مال التفعيل,2,2026-03-17 12:40:13,Negative
تطبيق راقي والله سائق مريح اسلوبه جيد جدا,5,2026-03-04 14:31:56,Positive
عاشت ايدكم على السرعة 🤍✨️,5,2026-03-02 04:58:04,Positive
احسن برنامج...جزاكم الله خيرا,5,2026-02-27 20:08:09,Positive
تطبيق ممتاز,5,2026-02-08 11:28:44,Positive
ممتاز,5,2026-02-06 20:22:08,Positive
الاجرة غالية جدااااا الطريق 10 دقائق ومسافة قريبة ياخذون عليهة 9500 دينار والاجرة مالتهة 2000 شكد قفاصة لعد هاي الفئة الاقتصادية هيج 😂😂😂,1,2026-02-06 15:49:19,Negative
تطبيق اكثر من رائع : عاشت ايدكم,5,2026-02-04 09:09:58,Positive
Top,5,2026-02-04 07:45:21,Positive
شكرآ لكم,5,2026-02-02 14:04:28,Positive
خوش كابتن,5,2026-02-02 08:34:49,Positive
تطبيع رائع,5,2026-01-25 11:46:29,Positive
تطبيق رائع جدا يرفع كل الصعاب عن كاهل المسافر,5,2026-01-14 13:44:25,Positive
احسن تطبيق في الكوكب,5,2026-01-11 17:13:51,Positive
تطبيق أكثر من رائع عاشت ايديكم,5,2026-01-10 14:23:42,Positive
افشل تطبيق ولا انصح احد يحمله تطلب ساعه يلا يرد عليك لو اصلا ماكو,1,2026-01-08 20:30:07,Negative
جيد ومريح وامن وطلب الكابت يكون كلش سريع يعني ماعرف شلون اوصف هذا التطبيق العملي كلش حلو ومريح,5,2025-12-31 06:56:40,Positive
😊😊😊😊,5,2025-12-30 05:32:03,Positive
خدمة ممتازه بارك الله بيكم,5,2025-12-27 19:10:36,Positive
يوصلون بسرعة اني دائما اختاجهم من الخط مالتي ميجس ومتأخر,5,2025-12-23 13:51:57,Positive
شكرا لكم على الرد السريع والجميل كان سائق خلوق ولطيف,5,2025-12-23 10:03:47,Positive
خدمه ممتازه,5,2025-12-21 10:45:23,Positive
جيد,5,2025-12-10 18:38:39,Positive
مرتبين والله,5,2025-12-08 15:41:11,Positive
مميزين,5,2025-12-03 11:28:19,Positive
احسن تطبيق يستاهل 5 نجوم,5,2025-11-24 21:34:24,Positive
جيد جداً و السائق خلوق و رائع 🤍,5,2025-11-24 14:55:25,Positive
تطبيق مريح,5,2025-11-24 13:23:47,Positive
تطبيق رائع جدا,5,2025-11-13 17:04:02,Positive
كلش حلوه ووصل بسرعه,5,2025-11-06 10:12:19,Positive
عاشت الايادي,5,2025-11-03 13:00:51,Positive
كابتن ابن اصول ونعم منه درجه اولى وخدمه ممتازة,5,2025-10-27 19:31:47,Positive
اسعار كلش غاليه,1,2025-10-22 22:28:13,Negative
أنه تطبيق جدا جدا مفيد ولاكن السائقون ليس متاحون في كل الوقت معا ذالك لانه تطبيق مفيده اعطيه تقيم 5 نجوم,5,2025-10-22 16:03:09,Positive
اسعار مبالغ بيها تكسي طه ارخص,1,2025-10-12 12:56:27,Negative
برنامج يخبل,5,2025-09-27 07:44:11,Positive
رائع جدا,5,2025-09-23 19:19:53,Positive
فول مواصفات,5,2025-09-22 12:41:07,Positive
سيء جدأ,1,2025-09-19 09:44:13,Negative
تطبيق جدا ناجح وخدمته جدا راقيه,5,2025-09-17 09:15:46,Positive
برنامج كلش ممتاز,5,2025-09-17 06:04:30,Positive
السواق قليلين بالفلوجة وبرنامج مخربط ارجوا تعدلون الخريطه اكثر مع سواق اكثر رغم العيوب التطبيق يمشي حال بس نريد شي اقوى وتنضيم اكثر,3,2025-09-14 10:21:11,Neutral
جيد 👍,5,2025-09-07 11:57:55,Positive
اسطوري,5,2025-09-04 16:03:29,Positive
برنامج روعة,5,2025-09-04 13:01:08,Positive
ناجحه,5,2025-09-03 20:46:05,Positive
تطبيق رهيب و خدماتهم ممتازة ، و لا مرة صار خطأ الحمد لله كل المندوبين محترمين و راقيين بالتوفيق يا رب,5,2025-09-01 14:44:08,Positive
التطبيق لايعمل على بيانات الاتصال,3,2025-08-28 06:52:33,Neutral
تطبيق يساعد عل عدم وقوفك في الشمس,5,2025-08-25 07:39:14,Positive
تطبيق ممتاز والكباتن مؤدبين,5,2025-08-21 21:56:28,Positive
متاز,5,2025-08-21 16:55:03,Positive
خوش تطبيق راقي,5,2025-08-20 14:48:13,Positive
اتمنئ تحلون مشكلة تاخير الطلب,4,2025-08-19 06:01:22,Positive
جميل,5,2025-08-16 19:50:21,Positive
اسعار غاليه حيل من السبعه كيلو الى شارع المستودع 17 الف وين رايح قابل,1,2025-08-12 11:28:56,Negative
كيف اكون كابتن باغاتي .. كابتن من الانبار الفلوجة,5,2025-08-10 05:51:51,Positive
ممتازه جدا,5,2025-08-09 13:26:16,Positive
الاسـعار غالية جدا لا ينصح به ابدا,1,2025-08-08 15:51:15,Negative
غير ملتزمين بتسعيرة التطبيق ويطلبون سعر أغلى,1,2025-08-08 11:24:26,Negative
تطبيق درجة اولى والله العظيم يعني ابو التكسي 5دقايق واگف بل الباب الاجرة2000سيارة حديث تبريد ناس محترمين التطبيق تقيمي الى100/100,5,2025-08-08 09:11:54,Positive
تطبيق جيد جدا وأمن,5,2025-08-01 12:38:25,Positive
تطبيق امان,5,2025-07-24 12:33:06,Positive
سلام عليكم هذا تطبيق يعمل في كركوك وشكرا,1,2025-07-22 19:33:19,Negative
تطبيق راقي,5,2025-07-20 20:26:32,Positive
التطبيق حلو بس شفت حاله وهو عند وصول السائق لنقطة الاقلال وبعد ركوب الشخص بالتكسي يقوم السائق بالغاء الطلب حتى يبقى الكروه كله اله فلازم الشركه تعالج هاي الحاله حتى التطبيق ينجح ويستمر تحياتي,4,2025-07-12 08:30:51,Positive
تطبيق يجنن وراح اشاركة ويا اقربائي,5,2025-07-10 09:18:59,Positive
ماشاء الله عمي تطبيق فول يختصر الوقت المناسب,5,2025-07-09 14:30:38,Positive
شكرا لكل القائمين على هذا التطبيق 🌹🌹🌹,3,2025-07-07 06:37:27,Neutral
سيء جداً يا ريتني ما نزلتك ...ساعة السودة من شاركت معاكم 🗿🗿💔,1,2025-07-01 11:26:39,Negative
عند محاوله تفعيل البرنامج لااستطيع... يرسل لي اشعار التطبيق مشبوه,1,2025-06-30 13:54:07,Negative
تطبيق فاشل مع الاسف,1,2025-06-29 13:48:11,Negative
نزلته وضفت الرقم بس يكلي غيري الشبكه لو عطلي ال vqn ممكن احد يكلي اشلون افعل التطبيق,1,2025-06-29 08:57:17,Negative
مايفتح ولا يتأكد الرمز يكولي يرجى إطفاء vpn أو تغير الشبكة,2,2025-06-29 07:58:31,Negative
اسعار غالية و خيالية .... التكسي افضل و اريح 👊,1,2025-06-28 17:11:31,Negative
تطبيق رائع .. وسيارة حديثة ومبردة .. شكرا عل القائمين عل التطبيق ووفق الله الجميع,5,2025-06-27 20:33:41,Positive
عند تفعيل التطبيق يقول تم ارسال الرمز وهو لم يرسل,1,2025-06-26 17:15:24,Negative
تطبيق اكثر من رااااااااائع ، السيارات كلها مبرده وحديثه,5,2025-06-22 15:31:29,Positive
اسعاركم مبالغ فيها,1,2025-06-20 21:20:09,Negative
ارقى برنامج🌼,5,2025-06-19 07:16:58,Positive
شكرا من كل قلبي,5,2025-06-18 14:37:05,Positive
تحت التجربة,5,2025-06-12 19:20:15,Positive
يظهر اتصال vpn واني ما مشغل كل شي وبكل الاجهزة نفس الشي,1,2025-06-10 16:33:41,Negative
جيدا جدا,5,2025-06-10 10:42:35,Positive
كذابين,1,2025-06-09 18:38:49,Negative
رائع جدآ,5,2025-06-09 18:20:25,Positive
يرجى توفير سواق اكثر كل ما اطلب يقلي لا يتوفر سائقون متاحون,2,2025-06-08 07:19:24,Negative
زين,3,2025-06-06 10:01:42,Neutral
رائع جدا🌹🌹🌹,5,2025-06-04 19:38:15,Positive
اولا-التطبيق خارطته مخربطة هوة يشتغل بس بتكريت ومطلعلي خارطة العالم كله ثانيا-يتأخر لما يلگة سايق تكسي ثالثا-الاسعار بي غالية التكسي العادي ارخص واسرع انو تلگا يعني مثلا من ناحية السعر اني ابعد عن هايبر ماركت چكليتة 3شوارع واروح وارجع بألفين دينار هوة يگلي ب4 وب5الاف دينار شهل تقفيص؟ اذا ماشفتو حل للتطبيق راح يخسر صيرو مثل بلي وكريم اسعارهم مناسبة ورخيصة عن نفسي مليت منه,1,2025-06-04 02:32:20,Negative
خدمه ممتازه سرعه الطلب تكسي مبرده وسعر الاجور معقولة,5,2025-06-03 06:02:22,Positive
جيد و مفيد للعجزه و حلو,5,2025-05-31 13:55:05,Positive
عاشت ايدكم تطبيق كلش راقي وزين,5,2025-05-31 10:19:27,Positive
برنامج رهيب,5,2025-05-27 18:26:46,Positive
خدمات جديدة جداً,5,2025-05-25 07:12:59,Positive
توب,5,2025-05-23 01:15:13,Positive
جيد جدا خدمه طيبه,5,2025-05-20 19:01:58,Positive
كتجربه جيده,5,2025-05-20 17:23:24,Positive
ماشاء الله تطبيق جداً جداً مميز وسائق محترم ويصلك عل وقت المحدد,5,2025-05-13 22:21:03,Positive
تطبيق جيد ... لدي مقترح إضافة شعار التطبيق بشكل واضح على السيارة حتى تكون مميزة وظاهرة للزبون,5,2025-05-13 20:28:37,Positive
روعة,5,2025-05-08 15:21:20,Positive
خدمه ممتازة,5,2025-05-08 09:10:51,Positive
بارك الله فيكم خوش تطبيق و اسعاركم مناسبة,1,2025-05-07 08:56:53,Negative
تطبيق كلش حلو ومفيد,5,2025-05-05 08:39:23,Positive
تطبيق جيد ومريح,4,2025-04-23 18:11:50,Positive
عمي .... سووا اعلان ممول ... مقطع باليوتيوب الناس محد يعرف بهالتطبيق وماشاالله خدمة كلش حلوة هسة اريد انشرلكم .... ما اعرف شأدز لجماعتي عالاقل اعلان مقطع فيديو عاليوتيوب يعني ... المراجعاات عالتطبيق فقط 115 مراجعة بضمنهن مراجعاتكم,5,2025-04-15 06:16:13,Positive
تطبيق جيد جدا سريع توصيل,5,2025-04-08 14:26:09,Positive
سائق يتاخر حيل اني بل اربعين هو بل قادسيه يكول يتاخر عما ايوصل زبون يجي ادري عندك ناس اتوصلهم عليش تقبل اكثر من طلب,1,2025-04-03 20:41:40,Negative
شكرآ لكم تطبيق راقي في سامراء شكرآ لكم,5,2025-04-01 10:02:55,Positive
خطوه كلش حلوه,5,2025-03-26 02:38:21,Positive
من افضل البرامج في العراق حرفيا حملوه وصدكوني مراح تندمون🤍🤍🤍,5,2025-03-10 17:41:25,Positive
شكرا لاختياركم هذا السائق,5,2025-03-09 21:45:17,Positive
الاجره رجعوها مثل قبل للفرد الواحد 2000 اذا ضلت غاليه الاجره راح يفشل وتذكرو كلامي,5,2025-03-08 19:14:31,Positive
تجربه جميله في تكريت,5,2025-03-03 08:30:12,Positive
الصراحة برنامج رائع والسايق محترم جدا وسيارتة جدا مريحة شكرا لكم من القلب واسال الله ان يوفقكم .,5,2025-02-23 04:58:42,Positive
شكرا لكم,1,2025-02-04 22:00:41,Negative
استخدمته اليوم وكانت الطريقة سلسة وتم وصول السائق بالوقت المناسب ..خدمة ممتازة,5,2025-02-04 21:05:25,Positive
الأفضل أضافة اقسام لكل مدينة مع أضافة قائمة بأسم ومعلومات السائقين ورقم هاتف ورقم السيارة المتوفرين في المدينة ويكون الشخص هو يختار السائق يلي يطلبة بنفسه، بهاي الطريقة المواطن مراح يتردد بالطلب لان أمان اكثر,3,2025-02-04 15:15:24,Neutral
التطبيق صار ساعات احاول اسجل دخول بي ما يسجل ، ايكلي رح نرسل رمز التحقق على رقمك وكلشي ميوصل وجربت كل المحاولات وأكثر من مرة وساعات وهم ما شتغل,2,2025-02-03 11:41:28,Negative
سلام عليكم يرجى تعديل الخيارات مثل باقي تطبيقات التكسي خياراتكم مو واضحه ومو مفهومه ابد الانطلاق والوصول يرجى تعديله,5,2025-02-01 18:57:46,Positive
برنامج سيئ جدا اذا مو نت ماتكدر تطلب فا صيرو نفس غير محافضات غالين حيل انتو🙋🏻1/10,1,2025-01-25 11:36:01,Negative
الف مبرووووووك واخيرا صار عدنا تطبيق تكسي بصلاح الدين بالتوفيق الكم,5,2024-12-06 22:38:30,Positive
